method_name,stage,predictor,tpr_hurt,tpr_benefit,acc,auc,gamma,gamma_p,rho,rho_p,n_queries,n_hurt,n_benefit,timestamp,h_label,h_pred
Pairwise-Mistral-7B-MRR,posthoc,pairwise Mistral-7B-Instruct-v0.3 MRR,0.1,0.7778,0.4211,0.4514,-0.0826,0.6503,0.0359,0.8234,38,20,18,2026-03-10T13:41:03.101436+00:00,0.0,0.0
Pairwise-Mistral-7B-Majority@k,posthoc,pairwise Mistral-7B-Instruct-v0.3 Majority@k,0.1,0.5,0.2895,0.4444,-0.1526,0.4845,-0.0115,0.9432,38,20,18,2026-03-10T13:41:03.416363+00:00,0.0,0.0
Setwise-Mistral-7B-DCG,posthoc,setwise Mistral-7B-Instruct-v0.3 DCG,0.6,0.8333,0.7105,0.7472,0.4051,0.011,0.4181,0.0065,38,20,18,2026-03-10T13:41:03.764707+00:00,0.0,0.0
Setwise-Mistral-7B-MRR,posthoc,setwise Mistral-7B-Instruct-v0.3 MRR,0.6,0.8333,0.7105,0.7444,0.3924,0.011,0.4132,0.0073,38,20,18,2026-03-10T13:41:04.110544+00:00,0.0,0.0
Setwise-Mistral-7B-Majority@k,posthoc,setwise Mistral-7B-Instruct-v0.3 Majority@k,0.4,0.5,0.4474,0.7153,0.6068,0.004,0.5719,0.0001,38,20,18,2026-03-10T13:41:04.403687+00:00,0.0,0.0
Pairwise-RankZephyr-7B-DCG,posthoc,pairwise rank_zephyr_7b_v1_full DCG,0.1,0.7778,0.4211,0.4389,-0.1039,0.5634,0.0136,0.9327,38,20,18,2026-03-10T13:41:04.731813+00:00,0.0,0.0
Pairwise-RankZephyr-7B-MRR,posthoc,pairwise rank_zephyr_7b_v1_full MRR,0.1,0.7778,0.4211,0.4514,-0.0826,0.6503,0.0359,0.8234,38,20,18,2026-03-10T13:41:05.060894+00:00,0.0,0.0
Pairwise-RankZephyr-7B-Majority@k,posthoc,pairwise rank_zephyr_7b_v1_full Majority@k,0.1,0.5,0.2895,0.4444,-0.1526,0.4845,-0.0115,0.9432,38,20,18,2026-03-10T13:41:05.412715+00:00,0.0,0.0
Setwise-RankZephyr-7B-DCG,posthoc,setwise rank_zephyr_7b_v1_full DCG,0.1,0.7778,0.4211,0.4389,-0.1039,0.5634,0.0136,0.9327,38,20,18,2026-03-10T13:41:05.853696+00:00,0.0,0.0
Setwise-RankZephyr-7B-MRR,posthoc,setwise rank_zephyr_7b_v1_full MRR,0.1,0.7778,0.4211,0.4514,-0.0826,0.6503,0.0359,0.8234,38,20,18,2026-03-10T13:41:06.266936+00:00,0.0,0.0
Setwise-RankZephyr-7B-Majority@k,posthoc,setwise rank_zephyr_7b_v1_full Majority@k,0.1,0.5,0.2895,0.4444,-0.1526,0.4845,-0.0115,0.9432,38,20,18,2026-03-10T13:41:06.710263+00:00,0.0,0.0
SC-Setwise-Qwen3-8B-Think-DCG,posthoc-sc,SC setwise Qwen3-8B DCG,0.55,0.7778,0.6579,0.6917,0.3038,0.0849,0.3517,0.0241,38,20,18,2026-03-10T13:41:07.028607+00:00,0.0,0.0
SC-Setwise-Qwen3-8B-Think-MRR,posthoc-sc,SC setwise Qwen3-8B MRR,0.6,0.7222,0.6579,0.6778,0.2827,0.0969,0.3309,0.0346,38,20,18,2026-03-10T13:41:07.340464+00:00,0.0,0.0
SC-Setwise-Qwen3-8B-Think-Majority@k,posthoc-sc,SC setwise Qwen3-8B Majority@k,0.45,0.8333,0.6316,0.6917,0.3217,0.045,0.3206,0.041,38,20,18,2026-03-10T13:41:07.766011+00:00,0.0,0.0
Setwise-Llama-8B-DCG,posthoc,setwise Llama-3.1-8B-Instruct DCG,0.65,0.6111,0.6316,0.6472,0.2616,0.0999,0.2866,0.0693,38,20,18,2026-03-10T13:41:08.225381+00:00,0.0,0.0
Setwise-Llama-8B-MRR,posthoc,setwise Llama-3.1-8B-Instruct MRR,0.65,0.5556,0.6053,0.6486,0.2643,0.1029,0.2899,0.066,38,20,18,2026-03-10T13:41:08.679658+00:00,0.0,0.0
Setwise-Llama-8B-Majority@k,posthoc,setwise Llama-3.1-8B-Instruct Majority@k,0.45,0.5556,0.5,0.6597,0.3269,0.0849,0.3063,0.0514,38,20,18,2026-03-10T13:41:09.128102+00:00,0.0,0.0
SC-Pairwise-Llama-8B-DCG,posthoc-sc,SC pairwise Llama-3.1-8B-Instruct DCG,0.1,0.7778,0.4211,0.4389,-0.1039,0.5634,0.0136,0.9327,38,20,18,2026-03-10T13:41:09.582346+00:00,0.0,0.0
SC-Pairwise-Llama-8B-MRR,posthoc-sc,SC pairwise Llama-3.1-8B-Instruct MRR,0.1,0.7778,0.4211,0.4514,-0.0826,0.6503,0.0359,0.8234,38,20,18,2026-03-10T13:41:10.024029+00:00,0.0,0.0
SC-Pairwise-Llama-8B-Majority@k,posthoc-sc,SC pairwise Llama-3.1-8B-Instruct Majority@k,0.1,0.5,0.2895,0.4444,-0.1526,0.4845,-0.0115,0.9432,38,20,18,2026-03-10T13:41:10.479389+00:00,0.0,0.0
SC-Setwise-Llama-8B-DCG,posthoc-sc,SC setwise Llama-3.1-8B-Instruct DCG,0.65,0.5556,0.6053,0.6639,0.2911,0.0899,0.4177,0.0066,38,20,18,2026-03-10T13:41:10.800694+00:00,0.0,0.0
SC-Setwise-Llama-8B-MRR,posthoc-sc,SC setwise Llama-3.1-8B-Instruct MRR,0.65,0.6111,0.6316,0.6722,0.3038,0.0759,0.431,0.0049,38,20,18,2026-03-10T13:41:11.176166+00:00,0.0,0.0
SC-Setwise-Llama-8B-Majority@k,posthoc-sc,SC setwise Llama-3.1-8B-Instruct Majority@k,0.65,0.5556,0.6053,0.6972,0.3677,0.035,0.4669,0.0021,38,20,18,2026-03-10T13:41:11.622697+00:00,0.0,0.0
SC-Pairwise-Mistral-7B-DCG,posthoc-sc,SC pairwise Mistral-7B-Instruct-v0.3 DCG,0.1,0.7778,0.4211,0.4389,-0.1039,0.5634,0.0136,0.9327,38,20,18,2026-03-10T13:41:12.054541+00:00,0.0,0.0
SC-Pairwise-Mistral-7B-MRR,posthoc-sc,SC pairwise Mistral-7B-Instruct-v0.3 MRR,0.1,0.7778,0.4211,0.4514,-0.0826,0.6503,0.0359,0.8234,38,20,18,2026-03-10T13:41:12.484431+00:00,0.0,0.0
SC-Pairwise-Mistral-7B-Majority@k,posthoc-sc,SC pairwise Mistral-7B-Instruct-v0.3 Majority@k,0.1,0.5,0.2895,0.4444,-0.1526,0.4845,-0.0115,0.9432,38,20,18,2026-03-10T13:41:12.837778+00:00,0.0,0.0
SC-Setwise-Mistral-7B-DCG,posthoc-sc,SC setwise Mistral-7B-Instruct-v0.3 DCG,0.7,0.7222,0.7105,0.7889,0.5232,0.003,0.5438,0.0002,38,20,18,2026-03-10T13:41:13.174723+00:00,0.0,0.0
SC-Setwise-Mistral-7B-MRR,posthoc-sc,SC setwise Mistral-7B-Instruct-v0.3 MRR,0.7,0.7222,0.7105,0.7944,0.5527,0.002,0.5665,0.0001,38,20,18,2026-03-10T13:41:13.467100+00:00,0.0,0.0
SC-Setwise-Mistral-7B-Majority@k,posthoc-sc,SC setwise Mistral-7B-Instruct-v0.3 Majority@k,0.6,0.7222,0.6579,0.7889,0.5325,0.002,0.6017,0.0,38,20,18,2026-03-10T13:41:13.768740+00:00,0.0,0.0
SC-Setwise-Qwen3-14B-Think-DCG,posthoc-sc,SC setwise Qwen3-14B DCG,0.55,0.7222,0.6316,0.7722,0.4768,0.007,0.4585,0.0026,38,20,18,2026-03-10T13:41:14.078259+00:00,0.0,0.0
SC-Setwise-Qwen3-14B-Think-MRR,posthoc-sc,SC setwise Qwen3-14B MRR,0.55,0.7222,0.6316,0.7833,0.4979,0.004,0.4867,0.0013,38,20,18,2026-03-10T13:41:14.412694+00:00,0.0,0.0
SC-Setwise-Qwen3-14B-Think-Majority@k,posthoc-sc,SC setwise Qwen3-14B Majority@k,0.6,0.6667,0.6316,0.7903,0.5398,0.004,0.5468,0.0002,38,20,18,2026-03-10T13:41:14.727612+00:00,0.0,0.0
Setwise-Llama-70B-DCG,posthoc,Llama-3.3-70B setwise DCG,0.55,0.7778,0.6579,0.65,0.2743,0.1129,0.3626,0.0198,38,20,18,2026-03-10T13:41:15.105911+00:00,0.0,0.0
Setwise-Llama-70B-MRR,posthoc,Llama-3.3-70B setwise MRR,0.5,0.7778,0.6316,0.6528,0.2785,0.1069,0.3688,0.0176,38,20,18,2026-03-10T13:41:15.433970+00:00,0.0,0.0
Setwise-Llama-70B-Majority@k,posthoc,Llama-3.3-70B setwise Majority@k,0.45,0.5556,0.5,0.6833,0.4087,0.034,0.3788,0.0146,38,20,18,2026-03-10T13:41:15.745159+00:00,0.0,0.0
Pairwise-Llama-70B-DCG,posthoc,Llama-3.3-70B pairwise DCG,0.55,0.8333,0.6842,0.6944,0.3586,0.041,0.3923,0.0112,38,20,18,2026-03-10T13:41:16.054725+00:00,0.0,0.0
Pairwise-Llama-70B-MRR,posthoc,Llama-3.3-70B pairwise MRR,0.55,0.8333,0.6842,0.6944,0.3713,0.03,0.4038,0.0088,38,20,18,2026-03-10T13:41:16.448873+00:00,0.0,0.0
Pairwise-Llama-70B-Majority@k,posthoc,Llama-3.3-70B pairwise Majority@k,0.4,0.5556,0.4737,0.7014,0.4278,0.037,0.467,0.0021,38,20,18,2026-03-10T13:41:16.741535+00:00,0.0,0.0
SC-Pairwise-Qwen3-14B-DCG,posthoc-sc,SC pairwise Qwen3-14B DCG,0.1,0.7778,0.4211,0.4389,-0.1039,0.5634,0.0136,0.9327,38,20,18,2026-03-10T13:41:17.090123+00:00,0.0,0.0
SC-Pairwise-Qwen3-14B-MRR,posthoc-sc,SC pairwise Qwen3-14B MRR,0.1,0.7778,0.4211,0.4514,-0.0826,0.6503,0.0359,0.8234,38,20,18,2026-03-10T13:41:17.405523+00:00,0.0,0.0
SC-Pairwise-Qwen3-14B-Majority@k,posthoc-sc,SC pairwise Qwen3-14B Majority@k,0.1,0.5,0.2895,0.4444,-0.1526,0.4845,-0.0115,0.9432,38,20,18,2026-03-10T13:41:17.746048+00:00,0.0,0.0
SC-Pairwise-RankZephyr-7B-DCG,posthoc-sc,SC pairwise rank_zephyr_7b_v1_full DCG,0.1,0.7778,0.4211,0.4389,-0.1039,0.5634,0.0136,0.9327,38,20,18,2026-03-10T13:41:18.065272+00:00,0.0,0.0
SC-Pairwise-RankZephyr-7B-MRR,posthoc-sc,SC pairwise rank_zephyr_7b_v1_full MRR,0.1,0.7778,0.4211,0.4514,-0.0826,0.6503,0.0359,0.8234,38,20,18,2026-03-10T13:41:18.357934+00:00,0.0,0.0
SC-Pairwise-RankZephyr-7B-Majority@k,posthoc-sc,SC pairwise rank_zephyr_7b_v1_full Majority@k,0.1,0.5,0.2895,0.4444,-0.1526,0.4845,-0.0115,0.9432,38,20,18,2026-03-10T13:41:18.703040+00:00,0.0,0.0
SC-Setwise-RankZephyr-7B-DCG,posthoc-sc,SC setwise rank_zephyr_7b_v1_full DCG,0.1,0.7778,0.4211,0.4389,-0.1039,0.5634,0.0136,0.9327,38,20,18,2026-03-10T13:41:19.015384+00:00,0.0,0.0
SC-Setwise-RankZephyr-7B-MRR,posthoc-sc,SC setwise rank_zephyr_7b_v1_full MRR,0.1,0.7778,0.4211,0.4514,-0.0826,0.6503,0.0359,0.8234,38,20,18,2026-03-10T13:41:19.314913+00:00,0.0,0.0
SC-Setwise-RankZephyr-7B-Majority@k,posthoc-sc,SC setwise rank_zephyr_7b_v1_full Majority@k,0.1,0.5,0.2895,0.4444,-0.1526,0.4845,-0.0115,0.9432,38,20,18,2026-03-10T13:41:19.626432+00:00,0.0,0.0
SC-Setwise-Llama-70B-DCG,posthoc-sc,SC Llama-3.3-70B setwise DCG,0.55,0.7778,0.6579,0.6667,0.3038,0.0829,0.3984,0.0099,38,20,18,2026-03-10T13:41:19.923847+00:00,0.0,0.0
SC-Setwise-Llama-70B-MRR,posthoc-sc,SC Llama-3.3-70B setwise MRR,0.5,0.7778,0.6316,0.6806,0.3249,0.0609,0.4206,0.0062,38,20,18,2026-03-10T13:41:20.263117+00:00,0.0,0.0
SC-Setwise-Llama-70B-Majority@k,posthoc-sc,SC Llama-3.3-70B setwise Majority@k,0.5,0.5556,0.5263,0.7014,0.445,0.02,0.41,0.0078,38,20,18,2026-03-10T13:41:20.565750+00:00,0.0,0.0
SC-Pairwise-Llama-70B-DCG,posthoc-sc,SC Llama-3.3-70B pairwise DCG,0.55,0.7778,0.6579,0.6833,0.3376,0.0559,0.3975,0.0101,38,20,18,2026-03-10T13:41:20.870212+00:00,0.0,0.0
SC-Pairwise-Llama-70B-MRR,posthoc-sc,SC Llama-3.3-70B pairwise MRR,0.55,0.8333,0.6842,0.6917,0.3502,0.045,0.4246,0.0057,38,20,18,2026-03-10T13:41:21.187890+00:00,0.0,0.0
SC-Pairwise-Llama-70B-Majority@k,posthoc-sc,SC Llama-3.3-70B pairwise Majority@k,0.5,0.6111,0.5526,0.7125,0.4246,0.027,0.4754,0.0017,38,20,18,2026-03-10T13:41:21.519016+00:00,0.0,0.0
Pairwise-Mistral-24B-DCG,posthoc,pairwise Mistral-Small-3.1-24B-Instruct-2503 DCG,0.1,0.7778,0.4211,0.4389,-0.1039,0.5634,0.0136,0.9327,38,20,18,2026-03-10T13:41:21.849005+00:00,0.0,0.0
Pairwise-Mistral-24B-MRR,posthoc,pairwise Mistral-Small-3.1-24B-Instruct-2503 MRR,0.1,0.7778,0.4211,0.4514,-0.0826,0.6503,0.0359,0.8234,38,20,18,2026-03-10T13:41:22.159616+00:00,0.0,0.0
Pairwise-Mistral-24B-Majority@k,posthoc,pairwise Mistral-Small-3.1-24B-Instruct-2503 Majority@k,0.1,0.5,0.2895,0.4444,-0.1526,0.4845,-0.0115,0.9432,38,20,18,2026-03-10T13:41:22.458918+00:00,0.0,0.0
Setwise-Mistral-24B-DCG,posthoc,setwise Mistral-Small-3.1-24B-Instruct-2503 DCG,0.75,0.6667,0.7105,0.7861,0.481,0.002,0.4883,0.0012,38,20,18,2026-03-10T13:41:22.760520+00:00,0.0,0.0
Setwise-Mistral-24B-MRR,posthoc,setwise Mistral-Small-3.1-24B-Instruct-2503 MRR,0.75,0.6667,0.7105,0.7833,0.4937,0.002,0.4941,0.001,38,20,18,2026-03-10T13:41:23.083338+00:00,0.0,0.0
Setwise-Mistral-24B-Majority@k,posthoc,setwise Mistral-Small-3.1-24B-Instruct-2503 Majority@k,0.65,0.5,0.5789,0.7639,0.554,0.003,0.5803,0.0001,38,20,18,2026-03-10T13:41:23.408450+00:00,0.0,0.0
SC-Pairwise-Mistral-24B-DCG,posthoc-sc,SC pairwise Mistral-Small-3.1-24B-Instruct-2503 DCG,0.1,0.7778,0.4211,0.4389,-0.1039,0.5634,0.0136,0.9327,38,20,18,2026-03-10T13:41:23.738612+00:00,0.0,0.0
SC-Pairwise-Mistral-24B-MRR,posthoc-sc,SC pairwise Mistral-Small-3.1-24B-Instruct-2503 MRR,0.1,0.7778,0.4211,0.4514,-0.0826,0.6503,0.0359,0.8234,38,20,18,2026-03-10T13:41:24.053600+00:00,0.0,0.0
SC-Pairwise-Mistral-24B-Majority@k,posthoc-sc,SC pairwise Mistral-Small-3.1-24B-Instruct-2503 Majority@k,0.1,0.5,0.2895,0.4444,-0.1526,0.4845,-0.0115,0.9432,38,20,18,2026-03-10T13:41:24.366016+00:00,0.0,0.0
SC-Setwise-Mistral-24B-DCG,posthoc-sc,SC setwise Mistral-Small-3.1-24B-Instruct-2503 DCG,0.75,0.6111,0.6842,0.8,0.5148,0.002,0.5324,0.0003,38,20,18,2026-03-10T13:41:24.672547+00:00,0.0,0.0
SC-Setwise-Mistral-24B-MRR,posthoc-sc,SC setwise Mistral-Small-3.1-24B-Instruct-2503 MRR,0.75,0.6111,0.6842,0.8056,0.5274,0.002,0.5499,0.0002,38,20,18,2026-03-10T13:41:24.978902+00:00,0.0,0.0
SC-Setwise-Mistral-24B-Majority@k,posthoc-sc,SC setwise Mistral-Small-3.1-24B-Instruct-2503 Majority@k,0.8,0.6667,0.7368,0.8028,0.5767,0.002,0.562,0.0001,38,20,18,2026-03-10T13:41:25.291868+00:00,0.0,0.0
